"","x"
"1",38.4476196176459
"2",195.197080964508
"3",0.126150252193404
"4",28.4697614759889
"5",3127.64402668737
"6",9517.18022572702
"7",6771.86945192477
"8",59399190308648.2
"9",0.359586285920642
"10",34.6585173094427
"11",1.98452634761608
"12",28.0651992718762
