"","Month","Tmin","Tmax","Chill_eff","Heat_eff"
"143",10,-17,-12,0,0
"144",10,-17,-11,0,0
"145",10,-17,-10,0,0
"146",10,-17,-9,0,0
"147",10,-17,-8,0,0
"148",10,-17,-7,0,0
"149",10,-17,-6,0,0
"150",10,-17,-5,0,0
"151",10,-17,-4,0,0
"152",10,-17,-3,0,0
"153",10,-17,-2,0,0
"154",10,-17,-1,0,0
"155",10,-17,0,0.000114110058756264,0
"156",10,-17,1,0.935670184716094,0
"157",10,-17,2,0.950262356069514,8.42204657625079e-07
"158",10,-17,3,1.00471866272027,0.00632223944834389
"159",10,-17,4,1.03094435392999,0.0344226562657261
"160",10,-17,5,1.03068294146201,0.091356080601348
"161",10,-17,6,1.04888288496775,0.182368176234695
"162",10,-17,7,1.05153084408592,0.309128272562861
"163",10,-17,8,1.06188854700605,0.473074327429952
"164",10,-17,9,1.06393689352014,0.673964560209521
"165",10,-17,10,0,0.910483156875836
"166",10,-17,11,0,1.18146727104389
"167",10,-17,12,0,1.4848066462446
"168",10,-17,13,0,1.81775630380906
"169",10,-17,14,0,2.17691466075035
"170",10,-17,15,0,2.55842070456826
"171",10,-17,16,0,2.95849508394772
"172",10,-17,17,0,3.37300645836326
"173",10,-17,18,0,3.79754312436345
"174",10,-17,19,0,4.22762942300021
"175",10,-17,20,0,4.65884731186676
"176",10,-17,21,0,5.08665195184352
"177",10,-17,22,0,5.50658407944459
"178",10,-17,23,0,5.91430471150277
"179",10,-17,24,0,6.30570544339569
"180",10,-17,25,0.0739625063043809,6.67698500282617
"181",10,-17,26,0,7.02461132136557
"182",10,-17,27,0,7.34545754061556
"183",10,-17,28,0,7.63664267132287
"184",10,-17,29,0,7.76248469634881
"185",10,-17,30,0,7.46906055502657
"186",10,-16,-15,0,0
"187",10,-16,-14,0,0
"188",10,-16,-13,0,0
"189",10,-16,-12,0,0
"190",10,-16,-11,0,0
"191",10,-16,-10,0,0
"192",10,-16,-9,0,0
"193",10,-16,-8,0,0
"194",10,-16,-7,0,0
"195",10,-16,-6,0,0
"196",10,-16,-5,0,0
"197",10,-16,-4,0,0
"198",10,-16,-3,0,0
"199",10,-16,-2,0,0
"200",10,-16,-1,0,0
"201",10,-16,0,0.000112089928849376,0
"202",10,-16,1,0.977480631243379,0
"203",10,-16,2,0.967962332360565,8.42204657625079e-07
"204",10,-16,3,1.03058850502054,0.00649510802836002
"205",10,-16,4,1.01747553786032,0.0352479322521896
"206",10,-16,5,1.04859960562349,0.0935600918538544
"207",10,-16,6,1.05734632939021,0.186539057927816
"208",10,-16,7,1.04296929961186,0.315881927339249
"209",10,-16,8,1.06991747308152,0.482992929716748
"210",10,-16,9,1.07382956506911,0.687341983660285
"211",10,-16,10,0,0.927841072023149
"212",10,-16,11,0,1.20326997471648
"213",10,-16,12,0,1.51133876584148
"214",10,-16,13,0,1.84916923798068
"215",10,-16,14,0,2.21317268661497
"216",10,-16,15,0,2.59968558423948
"217",10,-16,16,0,3.00484275840016
"218",10,-16,17,0,3.42435942232606
"219",10,-16,18,0,3.8538032052817
"220",10,-16,19,0,4.28875242933071
"221",10,-16,20,0,4.72461699655718
"222",10,-16,21,0,5.15681635767465
"223",10,-16,22,0,5.58083845479329
"224",10,-16,23,0,5.99236401211983
"225",10,-16,24,0,6.38732054301723
"226",10,-16,25,0.0793122263419827,6.7618789088604
"227",10,-16,26,0.0303492049984525,7.11255234659679
"228",10,-16,27,0,7.43604364596535
"229",10,-16,28,0,7.72946599538754
"230",10,-16,29,0,7.8571353630388
"231",10,-16,30,0,7.55635921354122
"232",10,-15,-15,0,0
"233",10,-15,-14,0,0
"234",10,-15,-13,0,0
"235",10,-15,-12,0,0
"236",10,-15,-11,0,0
"237",10,-15,-10,0,0
"238",10,-15,-9,0,0
"239",10,-15,-8,0,0
"240",10,-15,-7,0,0
"241",10,-15,-6,0,0
"242",10,-15,-5,0,0
"243",10,-15,-4,0,0
"244",10,-15,-3,0,0
"245",10,-15,-2,0,0
"246",10,-15,-1,0,0
"247",10,-15,0,0.000109978754271905,0
"248",10,-15,1,1.00721414715288,0
"249",10,-15,2,1.02196342935867,8.42204657625079e-07
"250",10,-15,3,1.0420732168738,0.00668228135653031
"251",10,-15,4,1.03687233981549,0.0361298618653207
"252",10,-15,5,1.05928641364824,0.0959489473696975
"253",10,-15,6,1.06577614763264,0.190974508592331
"254",10,-15,7,1.07320610714779,0.323111480010068
"255",10,-15,8,1.07719285612622,0.493513473713378
"256",10,-15,9,1.08196516816855,0.701488780733453
"257",10,-15,10,0,0.946279542184799
"258",10,-15,11,0,1.22636249010721
"259",10,-15,12,0,1.53937830090034
"260",10,-15,13,0,1.88219779760146
"261",10,-15,14,0,2.25128674633012
"262",10,-15,15,0,2.64308032185344
"263",10,-15,16,0,3.05349768141392
"264",10,-15,17,0,3.47820841653515
"265",10,-15,18,0,3.91283508538305
"266",10,-15,19,0,4.35280014596368
"267",10,-15,20,0,4.7934525244638
"268",10,-15,21,0,5.230156388344
"269",10,-15,22,0,5.65842729363488
"270",10,-15,23,0,6.07396338217463
"271",10,-15,24,0,6.47268352105282
"272",10,-15,25,0,6.85075023813367
"273",10,-15,26,0.0430940683526044,7.20450391284306
"274",10,-15,27,0,7.53067733341427
"275",10,-15,28,0,7.82636962353235
"276",10,-15,29,0,7.95550548878045
"277",10,-15,30,0,7.64733816129471
"278",10,-14,-14,0,0
"279",10,-14,-13,0,0
"280",10,-14,-12,0,0
"281",10,-14,-11,0,0
"282",10,-14,-10,0,0
"283",10,-14,-9,0,0
"284",10,-14,-8,0,0
"285",10,-14,-7,0,0
"286",10,-14,-6,0,0
"287",10,-14,-5,0,0
"288",10,-14,-4,0,0
"289",10,-14,-3,0,0
"290",10,-14,-2,0,0
"291",10,-14,-1,0,0
"292",10,-14,0,0.000107794488399324,0
"293",10,-14,1,1.00070229823173,0
"294",10,-14,2,1.02102001882013,8.42204657625079e-07
"295",10,-14,3,1.02657853091613,0.00688577024504424
"296",10,-14,4,1.04468519856883,0.0370844990369403
"297",10,-14,5,1.06762849379816,0.0985330205162971
"298",10,-14,6,1.05069262430411,0.195740302703277
