"Month","Tmin","Tmax","Dynamic_Model","GDH"
10,-10,-5,1.49420755215698e-05,0
10,-10,-4,6.96272974036224e-05,0
10,-10,-3,0.00032431910199335,0
10,-10,-2,0.00150163389732022,0
10,-10,-1,0.00685733423146356,0
10,-10,0,0.0301443500194559,0
10,-10,1,0.117016125073928,0
10,-10,2,0.324128173093919,0
10,-10,3,0.530077569131597,0
10,-10,4,0.562751192578515,0
10,-10,5,0.578718649732163,0.236357117202755
10,-10,6,0.607867939950052,1.2830626021957
10,-10,7,0.617811445462763,3.42122748884512
10,-10,8,0.618497374757196,6.75990189986598
10,-10,9,0.64312313828628,11.3569473348666
10,-10,10,0.633084576539071,17.2169967879333
10,-10,11,0.628127181742753,24.2662089965321
10,-10,12,0.63397210852965,32.4130715170159
10,-10,13,0.615118819868492,41.5453937572533
10,-10,14,0.613424299354447,51.5162097287929
10,-10,15,0.562002853140473,62.1618706372503
10,-10,16,0.558178465443657,73.3031217113592
10,-10,17,0.543563778304762,84.7512014369224
10,-10,18,0.509961227292542,96.3115107197502
10,-10,19,0.483698139749937,107.792279266636
10,-10,20,0.451214439911341,119.007738943953
10,-10,21,0.433697485113831,129.778558941775
10,-10,22,0.22657137632786,139.937270931951
10,-10,23,0.0688113825479973,149.32478113653
10,-10,24,0,157.798486225752
10,-10,25,0,165.23660460901
10,-10,26,0,166.958209115934
10,-10,27,0,164.006836622491
10,-10,28,0,158.898823708124
10,-10,29,0,151.798735780394
10,-10,30,0,143.548681098757
10,-9,-5,1.60914602461594e-05,0
10,-9,-4,7.33770475515129e-05,0
10,-9,-3,0.000337458358501794,0
10,-9,-2,0.00154986385353011,0
10,-9,-1,0.00703960582035309,0
10,-9,0,0.0308364545579154,0
10,-9,1,0.119505781185542,0
10,-9,2,0.33129686107654,0
10,-9,3,0.539781751275449,0
10,-9,4,0.575975457502614,0
10,-9,5,0.593259986313693,0.244299782093462
10,-9,6,0.618499701695864,1.32598099493588
10,-9,7,0.624902257856737,3.52791825436571
10,-9,8,0.640941805397942,6.95590142522956
10,-9,9,0.651916453666094,11.6754689642622
10,-9,10,0.635925115009808,17.6727196346779
10,-9,11,0.648054905145881,24.8700473578166
10,-9,12,0.64024504377956,33.1834634921965
10,-9,13,0.635475067645637,42.4884508576767
10,-9,14,0.607233431316776,52.6358154917048
10,-9,15,0.576087451318949,63.45737170991
10,-9,16,0.5787972729255,74.7707102301068
10,-9,17,0.544121249470254,86.3835546514628
10,-9,18,0.521623848534012,98.1022196997176
10,-9,19,0.49261791049575,109.735582730145
10,-9,20,0.422340201680035,121.095557224176
10,-9,21,0.392792745723785,132.001290288362
10,-9,22,0.228481527218877,142.277116833674
10,-9,23,0.0634646511789689,151.76210234093
10,-9,24,0,160.314507495455
10,-9,25,0,167.817768566109
10,-9,26,0,169.480842585487
10,-9,27,0,166.566056897933
10,-9,28,0,161.330142185511
10,-9,29,0,154.113886786564
10,-9,30,0,145.730979752064
10,-8,-5,1.80509561770442e-05,0
10,-8,-4,7.90066283694979e-05,0
10,-8,-3,0.00035554318661679,0
10,-8,-2,0.0016122279523928,0
10,-8,-1,0.00726391135225824,0
10,-8,0,0.0316501431737312,0
10,-8,1,0.122295182938478,0
10,-8,2,0.33890690283379,0
10,-8,3,0.549462193911214,0
10,-8,4,0.586619507930245,0
10,-8,5,0.60386895592386,0.25316892356617
10,-8,6,0.63129340087999,1.37382514064541
10,-8,7,0.628999291676607,3.64419053405048
10,-8,8,0.657819346733833,7.17220240846325
10,-8,9,0.656507131905981,12.0225083479682
10,-8,10,0.650650785670632,18.1618350204794
10,-8,11,0.658860698957506,25.5220756286046
10,-8,12,0.652201669434185,34.0112780897941
10,-8,13,0.642029950983245,43.4986939671528
10,-8,14,0.6053896055667,53.8314153088713
10,-8,15,0.601377523150287,64.8371343046128
10,-8,16,0.581557113363706,76.3297044170085
10,-8,17,0.556379834393274,88.1171539226265
10,-8,18,0.531514380362508,100.006497674947
10,-8,19,0.478096744817194,111.804230570379
10,-8,20,0.400405202833938,123.318612225108
10,-8,21,0.40719265039086,134.360432876297
10,-8,22,0.260862072904731,144.752866157804
10,-8,23,0.0765489110061383,154.33750690097
10,-8,24,0,162.979193406293
10,-8,25,0,170.563892630145
10,-8,26,0,172.179977146784
10,-8,27,0,169.281350003758
10,-8,28,0,163.92353581379
10,-8,29,0,156.580449798575
10,-8,30,0,148.063312672207
10,-7,-5,2.20461496849564e-05,0
10,-7,-4,8.86343001276536e-05,0
10,-7,-3,0.000382793280310104,0
10,-7,-2,0.00169836515972003,0
10,-7,-1,0.00755400028739423,0
10,-7,0,0.0326488928801139,0
10,-7,1,0.125518800332582,0
10,-7,2,0.347175429898543,0
10,-7,3,0.559141944847646,0
10,-7,4,0.593832753560289,0
10,-7,5,0.612223638858775,0.263159922478078
10,-7,6,0.640606020213848,1.42733388007164
10,-7,7,0.639500520505754,3.77161502242087
10,-7,8,0.671701085520837,7.41207537289406
10,-7,9,0.660601998997621,12.4002691011674
10,-7,10,0.668113565395443,18.6925186089848
10,-7,11,0.669988128268338,26.2285935377521
10,-7,12,0.669882751950566,34.9038437164111
10,-7,13,0.632212831638305,44.5843626141735
10,-7,14,0.630059795250087,55.1120366226253
10,-7,15,0.618649308988606,66.3106210854661
10,-7,16,0.589780419371805,77.993616596003
10,-7,17,0.565046794214764,89.9698104809478
10,-7,18,0.518945138943665,102.043687957735
10,-7,19,0.449020107738505,114.015463039233
10,-7,20,0.424986655551293,125.685670548817
10,-7,21,0.432102758801125,136.864858440751
10,-7,22,0.272380907288979,147.381362022605
10,-7,23,0.105507719859472,157.082553646661
10,-7,24,0,165.8298519113
10,-7,25,0,173.502963004913
10,-7,26,0,175.073202486461
10,-7,27,0,172.173529746818
10,-7,28,0,166.692757591281
10,-7,29,0,159.205440087999
10,-7,30,0,150.587925035938
10,-6,-5,3.20423234710417e-05,0
10,-6,-4,0.000108278130831985,0
10,-6,-3,0.000429512080480674,0
10,-6,-2,0.00182848271884573,0
10,-6,-1,0.00795556713385039,0
10,-6,0,0.0339369992149651,0
10,-6,1,0.129384671197759,0
10,-6,2,0.356332686749897,0
10,-6,3,0.568339248313536,0
10,-6,4,0.599611666764998,0
10,-6,5,0.622291959582556,0.27458663364748
10,-6,6,0.647592445227401,1.48731425851844
10,-6,7,0.660921702695938,3.91350296760282
10,-6,8,0.676967737742104,7.67858029543604
10,-6,9,0.668201762863242,12.8113941706275
10,-6,10,0.680604443251802,19.2733672753189
10,-6,11,0.688621850607414,26.9967355293159
10,-6,12,0.663883980916271,35.8704836724698
10,-6,13,0.644914162308647,45.7552206241876
10,-6,14,0.632578603596341,56.4883044853532
10,-6,15,0.616575867200271,67.8925428729092
10,-6,16,0.597697840887873,79.7822477014903
10,-6,17,0.548445718759921,91.9632217149545
10,-6,18,0.489970820740513,104.230871933171
10,-6,19,0.476764557099502,116.378971814959
